region,name,shape_lores_svg
1,West Bank,M 597.9621 6.5926 600.9737 10.5124 610.2515 18.1396 624.0906 23.2398 623.8991 28.7714 632.2151 25.5522 641.9975 25.8615 649.809 24.517 663.2899 20.4751 672.4484 20.8328 680.2306 23.0063 688.7584 28.6578 698.534 30.6187 701.71 38.3322 701.4171 41.9491 703.8903 47.0556 706.3117 49.6015 709.5372 55.8674 707.3681 57.3234 704.2327 70.257 708.3367 80.5332 715.2765 85.1936 720.9346 87.1209 728.5592 82.9928 736.7018 83.3315 743.7001 84.4046 752.8248 89.6963 760.7061 91.2743 773.928 94.5798 781.4241 97.9905 787.704 96.9195 792.9364 99.8126 791.6142 102.6972 793.8757 106.1942 793.5829 109.1546 787.5778 113.5457 789.5555 119.2751 791.1074 120.9015 787.7715 123.9965 789.7447 131.4238 788.24 132.6715 787.8233 137.2121 791.5534 139.0026 793.5829 144.3722 788.9473 151.0568 792.7202 152.3928 795.4727 157.7077 794.9163 163.8936 790.2627 165.7031 791.5061 170.5487 794.2969 172.0699 792.7855 177.9066 795.815 179.0364 798.2229 182.9394 793.3013 183.9431 792.4386 188.3931 794.1347 191.8501 798.3986 196.1255 794.2541 198.6209 798.2116 199.8034 799 202.3072 795.9997 203.7843 793.0107 208.9666 796.1169 208.7288 798.527 213.2399 793.7676 214.9589 790.4069 217.7952 792.4544 221.6056 788.3121 226.2261 789.578 230.0113 784.9808 230.1754 786.0236 232.715 789.3212 232.7802 790.7831 241.2069 785.3727 242.5893 782.5098 242.1853 781.2935 249.1897 783.7825 248.9414 785.9065 251.8408 779.0591 261.2565 775.2186 262.582 779.5997 269.4223 782.1066 276.9379 777.7707 280.5906 775.6286 284.7819 772.7928 296.5267 769.2001 296.3436 767.6054 299.5081 769.2429 301.589 767.2315 305.1491 769.6934 306.0938 769.7857 314.8067 772.0765 319.7449 770.3443 323.8562 774.6353 327.0144 777.354 326.0865 778.104 329.6171 776.4372 334.7931 780.4556 340.9074 784.0122 344.4843 780.7034 347.066 781.6178 352.0631 779.9646 354.6848 780.9083 357.0097 780.3114 362.5897 781.5435 364.719 777.3247 368.4032 777.6896 372.0095 771.9954 372.2136 772.563 375.6348 770.9165 382.7886 776.2255 389.4037 773.928 390.6346 775.2209 395.516 778.8834 397.1382 779.5546 399.0045 783.5031 400.9529 784.3861 405.6386 779.496 408.6263 779.5794 414.0443 782.9783 415.6644 784.5077 418.2966 783.4311 422.5846 784.474 430.4916 780.1605 431.6341 781.9152 436.404 780.8115 440.9803 783.4874 443.299 786.6656 448.5276 784.6249 455.6035 790.2515 464.451 788.9113 467.4325 782.7756 467.5061 771.876 464.9455 768.9095 465.9323 760.1362 463.8093 758.4266 465.825 757.0774 471.1945 746.7522 485.4032 744.6934 489.7039 738.2942 496.2264 733.046 497.2574 728.0321 501.8842 727.8857 504.1124 723.7502 513.2145 726.149 518.7903 725.6512 522.586 722.6127 526.3712 718.6349 534.5265 718.6957 536.3801 714.389 539.208 714.362 547.1676 712.9024 549.0802 708.2691 550.2921 705.0864 555.607 706.5955 558.5905 703.3227 560.0255 702.3947 564.6986 702.5141 571.3305 706.0775 576.1762 707.9402 580.5757 707.2104 583.3594 700.0792 590.3217 697.7344 591.2517 697.6353 595.3967 696.0293 597.0862 697.3244 602.2748 694.9256 604.6861 694.8039 612.8498 696.6352 614.5372 693.725 623.4016 694.2881 626.8628 689.808 629.8253 685.3594 634.0544 671.1104 642.9903 668.2859 645.2417 645.437 660.2414 634.4834 667.0775 632.2287 669.8485 626.3205 672.952 612.112 683.3229 597.4283 695.0193 594.7209 696.0082 586.9499 696.6478 585.0871 699.0254 581.3526 699.6125 578.6406 697.8051 565.0584 700.9317 561.8554 705.0935 558.3731 704.2919 553.2195 705.2597 550.4738 703.6754 539.3872 706.6042 528.7984 705.6911 520.0724 706.0214 509.6864 705.6932 501.0573 704.6958 487.6056 704.8389 484.1481 704.477 466.0407 704.8999 442.5859 709.6383 430.8484 710.7681 417.2999 713.96 412.955 712.4388 408.833 709.1775 408.7023 706.5811 403.0172 702.6318 396.8995 697.5042 394.5885 690.1737 391.5477 684.8778 391.4734 681.7301 394.2146 674.2902 398.76 666.1096 400.3705 661.6512 405.3259 653.8346 407.4252 653.4096 410.1777 650.0179 409.2407 647.937 412.9234 646.6535 417.372 641.3029 424.3929 629.2046 427.9991 619.2335 428.5171 614.876 426.2872 607.0636 427.2693 604.0275 426.7782 592.5057 429.0172 583.1237 430.1682 573.4893 433.3937 565.254 446.9895 551.502 454.3753 541.2952 459.3847 535.6605 465.1352 531.0821 479.1927 526.5753 485.0626 523.5475 497.3925 515.9729 500.9446 513.2861 511.6235 508.7603 512.3308 505.217 515.6441 503.2771 524.1494 494.4674 530.5644 495.0545 536.5446 485.46 541.09 482.8741 544.8899 485.5715 552.1653 480.7869 554.6881 476.9491 557.7582 478.2704 564.4862 478.687 568.1577 477.7234 571.4013 474.9776 580.9989 475.613 584.2245 474.6367 588.7654 476.846 587.1504 479.0826 588.1843 481.4455 591.2791 483.2192 593.2725 481.9778 594.1082 469.5618 595.6872 469.9131 596.9846 461.4149 594.3943 458.0863 595.4597 453.5941 593.3379 443.9008 589.3893 441.378 585.3327 441.2076 577.7892 438.548 566.367 439.6316 557.2626 439.335 547.4667 437.1215 540.7657 434.685 533.3416 429.9214 529.6183 431.1355 524.1471 430.1929 519.8607 426.6791 507.1659 419.8514 493.9373 414.2 486.7407 429.4712 481.9948 431.0997 481.0015 427.2388 477.4043 425.8585 472.8003 425.726 469.9667 424.2552 462.921 424.8465 460.128 427.628 456.247 425.5408 456.2763 423.6682 451.7331 422.3447 443.8428 415.6034 441.7863 411.7593 439.8132 410.7577 441.275 407.1535 449.1698 411.9255 448.9987 408.8809 456.1119 409.9561 459.6708 404.9842 463.5698 405.9794 465.0992 402.756 477.1768 403.3431 477.393 396.2671 475.6947 393.8538 477.5462 390.4536 476.0168 384.1836 475.323 376.6721 473.9873 374.5807 466.1263 372.8112 459.7946 368.258 458.754 366.5053 457.0895 358.6004 454.9384 353.9441 451.4493 349.1848 449.9987 345.2923 457.2223 342.8368 458.9432 341.0189 461.0357 329.5182 461.0898 316.0796 464.464 314.0997 463.1103 302.498 460.4704 293.1665 457.5467 286.1579 453.4292 273.6704 453.1364 267.0889 456.0443 265.837 457.4386 261.5573 454.9339 258.5969 453.186 253.7261 453.0193 249.6926 454.6816 247.5528 455.8056 242.7198 453.5734 238.9114 449.1901 238.6779 446.343 236.6454 448.1225 232.6477 437.6441 222.8743 436.3196 214.0121 439.2793 209.0802 446.8228 208.2154 455.0195 204.0789 456.3214 201.068 464.4527 194.4486 469.8271 187.5768 473.1314 187.6125 472.78 183.5033 475.5843 179.7287 475.4875 176.2927 479.4811 170.0458 476.6858 165.0129 473.1179 161.6843 466.7817 160.7333 469.2572 154.196 467.7233 153.5269 469.1716 145.7903 470.3609 145.9692 470.9826 127.0306 473.4287 125.3894 477.4065 125.8144 478.1904 122.0103 482.7178 122.1976 486.2632 119.7232 485.6438 117.2299 489.8986 114.4484 491.8605 110.1077 490.3514 104.5151 485.9974 103.7829 485.146 102.1796 490.5744 92.4547 493.2097 88.9515 492.9394 81.177 496.6244 73.6255 498.1606 67.5049 500.2216 65.2851 500.0774 61.8849 503.4877 59.3811 504.0553 56.7384 510.0085 50.622 511.9208 50.0875 515.9775 45.7658 521.7956 44.6023 524.5255 46.2245 528.2128 43.8217 533.5015 42.2352 536.932 39.7735 552.5956 30.5851 556.0373 29.3163 558.1366 26.5453 565.6462 20.7381 568.0046 17.3106 571.0792 17.885 576.5661 12.6459 576.8522 11.2341 582.0711 7.5457 588.0424 5.5469 588.7541 3.5859 593.7906 1 597.9621 6.5926 Z
2,Gaza Strip,M 200.5197 607.0174 199.2246 610.1797 194.6633 613.561 185.4441 617.0453 181.2568 619.5849 173.4543 621.2534 163.0772 628.9332 152.2047 637.6671 146.6591 643.6173 135.2077 654.1565 130.1149 656.1911 123.6256 664.1529 117.4989 667.9991 111.9669 672.6133 109.1333 673.4696 104.036 679.6639 96.6548 685.995 92.7715 692.5471 91.4651 697.6578 88.4108 698.5794 87.4963 702.6128 88.8906 713.3898 92.4517 735.476 88.2058 744.7949 74.2519 751.6183 70.5106 757.9704 67.3481 761.4611 60.4444 766.6454 44.9475 773.4121 37.4379 780.6205 28.8786 783.4631 13.6385 741.3568 10.8973 740.7361 4.0971 729.3364 1 724.9053 7.5163 719.8492 27.7726 702.3035 35.289 696.2291 40.8301 690.1484 48.6506 683.3292 52.964 680.5308 67.1049 668.5503 74.9794 661.1315 108.4824 626.5093 118.5441 616.5403 124.2563 609.8978 137.7665 595.485 147.4092 583.8833 159.426 568.3596 162.9894 565.658 181.3514 578.5054 198.1163 590.8414 206.6013 596.5813 205.6147 601.7067 200.5197 607.0174 Z
